[train] run_name=20260328_130956
[train] device=cuda seed=42
[train] train_runs(90): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_025', 'run_026', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_049', 'run_051', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(10): ['run_011', 'run_022', 'run_023', 'run_030', 'run_047', 'run_052', 'run_059', 'run_117', 'run_124', 'run_133']
[train] num_train_samples=48741 num_val_samples=5580
[train] params.image_encoder: trainable=27744 total=27744
[train] params.point_encoder: trainable=4416 total=4416
[train] params.state_encoder: trainable=640 total=640
[train] params.fusion: trainable=82176 total=82176
[train] params.time_mlp: trainable=4288 total=4288
[train] params.denoise: trainable=492608 total=492608
[train] params.policy_total: trainable=611872 total=611872
epoch=5/100 step=600/1524 global_step=6696 train_loss=0.149831
epoch=5/100 step=700/1524 global_step=6796 train_loss=0.297860
epoch=5/100 step=800/1524 global_step=6896 train_loss=0.195888
epoch=5/100 step=900/1524 global_step=6996 train_loss=0.180640
epoch=5/100 step=1000/1524 global_step=7096 train_loss=0.092880
epoch=5/100 step=1100/1524 global_step=7196 train_loss=0.230036
epoch=5/100 step=1200/1524 global_step=7296 train_loss=0.107302
epoch=5/100 step=1300/1524 global_step=7396 train_loss=0.166455
epoch=5/100 step=1400/1524 global_step=7496 train_loss=0.105848
epoch=5/100 step=1500/1524 global_step=7596 train_loss=0.170979
epoch=5/100 step=1524/1524 global_step=7620 train_loss=0.572360
epoch=5/100 mean_train_loss=0.154459 mean_val_loss=0.140347
epoch=6/100 step=100/1524 global_step=7720 train_loss=0.164588
epoch=6/100 step=200/1524 global_step=7820 train_loss=0.191063
epoch=6/100 step=300/1524 global_step=7920 train_loss=0.070897
epoch=6/100 step=400/1524 global_step=8020 train_loss=0.173917
epoch=6/100 step=500/1524 global_step=8120 train_loss=0.127834
epoch=6/100 step=600/1524 global_step=8220 train_loss=0.083685
epoch=6/100 step=700/1524 global_step=8320 train_loss=0.193133
epoch=6/100 step=800/1524 global_step=8420 train_loss=0.174162
epoch=6/100 step=900/1524 global_step=8520 train_loss=0.109267
epoch=6/100 step=1000/1524 global_step=8620 train_loss=0.160309
epoch=6/100 step=1100/1524 global_step=8720 train_loss=0.093335
epoch=6/100 step=1200/1524 global_step=8820 train_loss=0.151191
epoch=6/100 step=1300/1524 global_step=8920 train_loss=0.137791
epoch=6/100 step=1400/1524 global_step=9020 train_loss=0.134162
epoch=6/100 step=1500/1524 global_step=9120 train_loss=0.162591
epoch=6/100 step=1524/1524 global_step=9144 train_loss=0.202370
epoch=6/100 mean_train_loss=0.136155 mean_val_loss=0.125826
epoch=7/100 step=100/1524 global_step=9244 train_loss=0.157654
epoch=7/100 step=200/1524 global_step=9344 train_loss=0.081773
epoch=7/100 step=300/1524 global_step=9444 train_loss=0.177329
epoch=7/100 step=400/1524 global_step=9544 train_loss=0.099713
epoch=7/100 step=500/1524 global_step=9644 train_loss=0.055992
epoch=7/100 step=600/1524 global_step=9744 train_loss=0.103715
epoch=7/100 step=700/1524 global_step=9844 train_loss=0.127308
epoch=7/100 step=800/1524 global_step=9944 train_loss=0.100225
epoch=7/100 step=900/1524 global_step=10044 train_loss=0.099618
epoch=7/100 step=1000/1524 global_step=10144 train_loss=0.182292
epoch=7/100 step=1100/1524 global_step=10244 train_loss=0.148056
epoch=7/100 step=1200/1524 global_step=10344 train_loss=0.188262
epoch=7/100 step=1300/1524 global_step=10444 train_loss=0.094483
epoch=7/100 step=1400/1524 global_step=10544 train_loss=0.126861
epoch=7/100 step=1500/1524 global_step=10644 train_loss=0.107775
epoch=7/100 step=1524/1524 global_step=10668 train_loss=0.035990
epoch=7/100 mean_train_loss=0.122004 mean_val_loss=0.112663
epoch=8/100 step=100/1524 global_step=10768 train_loss=0.091435
epoch=8/100 step=200/1524 global_step=10868 train_loss=0.082649
epoch=8/100 step=300/1524 global_step=10968 train_loss=0.121778
epoch=8/100 step=400/1524 global_step=11068 train_loss=0.075503
epoch=8/100 step=500/1524 global_step=11168 train_loss=0.176152
epoch=8/100 step=600/1524 global_step=11268 train_loss=0.154567
epoch=8/100 step=700/1524 global_step=11368 train_loss=0.130940
epoch=8/100 step=800/1524 global_step=11468 train_loss=0.079834
epoch=8/100 step=900/1524 global_step=11568 train_loss=0.111176
epoch=8/100 step=1000/1524 global_step=11668 train_loss=0.085234
epoch=8/100 step=1100/1524 global_step=11768 train_loss=0.104152
epoch=8/100 step=1200/1524 global_step=11868 train_loss=0.110282
epoch=8/100 step=1300/1524 global_step=11968 train_loss=0.175324
epoch=8/100 step=1400/1524 global_step=12068 train_loss=0.062726
epoch=8/100 step=1500/1524 global_step=12168 train_loss=0.112588
epoch=8/100 step=1524/1524 global_step=12192 train_loss=0.060462
epoch=8/100 mean_train_loss=0.117008 mean_val_loss=0.111190
epoch=9/100 step=100/1524 global_step=12292 train_loss=0.075350
epoch=9/100 step=200/1524 global_step=12392 train_loss=0.161412
epoch=9/100 step=300/1524 global_step=12492 train_loss=0.090269
epoch=9/100 step=400/1524 global_step=12592 train_loss=0.088462
epoch=9/100 step=500/1524 global_step=12692 train_loss=0.101880
epoch=9/100 step=600/1524 global_step=12792 train_loss=0.113760
epoch=9/100 step=700/1524 global_step=12892 train_loss=0.062391
epoch=9/100 step=800/1524 global_step=12992 train_loss=0.123063
epoch=9/100 step=900/1524 global_step=13092 train_loss=0.122124
epoch=9/100 step=1000/1524 global_step=13192 train_loss=0.168877
epoch=9/100 step=1100/1524 global_step=13292 train_loss=0.077281
epoch=9/100 step=1200/1524 global_step=13392 train_loss=0.130801
epoch=9/100 step=1300/1524 global_step=13492 train_loss=0.136077
epoch=9/100 step=1400/1524 global_step=13592 train_loss=0.099388
epoch=9/100 step=1500/1524 global_step=13692 train_loss=0.089868
epoch=9/100 step=1524/1524 global_step=13716 train_loss=0.234240
epoch=9/100 mean_train_loss=0.110760 mean_val_loss=0.116342
epoch=10/100 step=100/1524 global_step=13816 train_loss=0.092735
epoch=10/100 step=200/1524 global_step=13916 train_loss=0.051296
epoch=10/100 step=300/1524 global_step=14016 train_loss=0.138580
epoch=10/100 step=400/1524 global_step=14116 train_loss=0.129103
epoch=10/100 step=500/1524 global_step=14216 train_loss=0.106511
epoch=10/100 step=600/1524 global_step=14316 train_loss=0.187039
epoch=10/100 step=700/1524 global_step=14416 train_loss=0.092181
epoch=10/100 step=800/1524 global_step=14516 train_loss=0.072183
epoch=10/100 step=900/1524 global_step=14616 train_loss=0.185979
epoch=10/100 step=1000/1524 global_step=14716 train_loss=0.070799
epoch=10/100 step=1100/1524 global_step=14816 train_loss=0.098134
epoch=10/100 step=1200/1524 global_step=14916 train_loss=0.035874
epoch=10/100 step=1300/1524 global_step=15016 train_loss=0.132426
epoch=10/100 step=1400/1524 global_step=15116 train_loss=0.119723
epoch=10/100 step=1500/1524 global_step=15216 train_loss=0.059724
epoch=10/100 step=1524/1524 global_step=15240 train_loss=0.256316
epoch=10/100 mean_train_loss=0.105917 mean_val_loss=0.100564
epoch=11/100 step=100/1524 global_step=15340 train_loss=0.139003
epoch=11/100 step=200/1524 global_step=15440 train_loss=0.117536
epoch=11/100 step=300/1524 global_step=15540 train_loss=0.155554
epoch=11/100 step=400/1524 global_step=15640 train_loss=0.154664
epoch=11/100 step=500/1524 global_step=15740 train_loss=0.124663
epoch=11/100 step=600/1524 global_step=15840 train_loss=0.236887
epoch=11/100 step=700/1524 global_step=15940 train_loss=0.121159
epoch=11/100 step=800/1524 global_step=16040 train_loss=0.108831
epoch=11/100 step=900/1524 global_step=16140 train_loss=0.031776
epoch=11/100 step=1000/1524 global_step=16240 train_loss=0.097110
epoch=11/100 step=1100/1524 global_step=16340 train_loss=0.052024
epoch=11/100 step=1200/1524 global_step=16440 train_loss=0.092567
epoch=11/100 step=1300/1524 global_step=16540 train_loss=0.057762
epoch=11/100 step=1400/1524 global_step=16640 train_loss=0.143314
epoch=11/100 step=1500/1524 global_step=16740 train_loss=0.038922
epoch=11/100 step=1524/1524 global_step=16764 train_loss=0.028192
epoch=11/100 mean_train_loss=0.102423 mean_val_loss=0.102470
epoch=12/100 step=100/1524 global_step=16864 train_loss=0.108634
epoch=12/100 step=200/1524 global_step=16964 train_loss=0.206950
epoch=12/100 step=300/1524 global_step=17064 train_loss=0.104568
epoch=12/100 step=400/1524 global_step=17164 train_loss=0.079352
epoch=12/100 step=500/1524 global_step=17264 train_loss=0.109032
epoch=12/100 step=600/1524 global_step=17364 train_loss=0.136400
epoch=12/100 step=700/1524 global_step=17464 train_loss=0.115731
epoch=12/100 step=800/1524 global_step=17564 train_loss=0.048715
