[train] run_name=20260329_101940
[train] device=cuda seed=42
[train] train_runs(90): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_025', 'run_026', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_049', 'run_051', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(10): ['run_011', 'run_022', 'run_023', 'run_030', 'run_047', 'run_052', 'run_059', 'run_117', 'run_124', 'run_133']
[train] num_train_samples=48741 num_val_samples=5580
[train] params.image_encoder: trainable=11439168 total=11439168
[train] params.point_encoder: trainable=435840 total=435840
[train] params.state_encoder: trainable=132864 total=132864
[train] params.time_mlp: trainable=16768 total=16768
[train] params.denoise: trainable=8917056 total=8917056
[train] params.policy_total: trainable=20941696 total=20941696
epoch=4/500 step=1500/1524 train_loss=0.078410 elapsed=00:04:36
epoch=4/500 step=1524/1524 train_loss=0.089140 elapsed=00:04:37
epoch=4/500 mean_train_loss=0.107350 mean_val_loss=0.098579
epoch=5/500 step=100/1524 train_loss=0.092722 elapsed=00:04:44
epoch=5/500 step=200/1524 train_loss=0.107905 elapsed=00:04:49
epoch=5/500 step=300/1524 train_loss=0.109083 elapsed=00:04:53
epoch=5/500 step=400/1524 train_loss=0.082413 elapsed=00:04:58
epoch=5/500 step=500/1524 train_loss=0.064127 elapsed=00:05:02
epoch=5/500 step=600/1524 train_loss=0.085871 elapsed=00:05:06
epoch=5/500 step=700/1524 train_loss=0.235612 elapsed=00:05:11
epoch=5/500 step=800/1524 train_loss=0.119132 elapsed=00:05:15
epoch=5/500 step=900/1524 train_loss=0.102262 elapsed=00:05:19
epoch=5/500 step=1000/1524 train_loss=0.042931 elapsed=00:05:24
epoch=5/500 step=1100/1524 train_loss=0.161529 elapsed=00:05:28
epoch=5/500 step=1200/1524 train_loss=0.059314 elapsed=00:05:33
epoch=5/500 step=1300/1524 train_loss=0.101317 elapsed=00:05:37
epoch=5/500 step=1400/1524 train_loss=0.065719 elapsed=00:05:41
epoch=5/500 step=1500/1524 train_loss=0.120525 elapsed=00:05:46
epoch=5/500 step=1524/1524 train_loss=0.621504 elapsed=00:05:47
epoch=5/500 mean_train_loss=0.095780 mean_val_loss=0.089952
epoch=6/500 step=100/1524 train_loss=0.100310 elapsed=00:05:54
epoch=6/500 step=200/1524 train_loss=0.143862 elapsed=00:05:59
epoch=6/500 step=300/1524 train_loss=0.022108 elapsed=00:06:03
epoch=6/500 step=400/1524 train_loss=0.129081 elapsed=00:06:08
epoch=6/500 step=500/1524 train_loss=0.070409 elapsed=00:06:12
epoch=6/500 step=600/1524 train_loss=0.035907 elapsed=00:06:17
epoch=6/500 step=700/1524 train_loss=0.134935 elapsed=00:06:21
epoch=6/500 step=800/1524 train_loss=0.132804 elapsed=00:06:26
epoch=6/500 step=900/1524 train_loss=0.059785 elapsed=00:06:30
epoch=6/500 step=1000/1524 train_loss=0.113987 elapsed=00:06:35
epoch=6/500 step=1100/1524 train_loss=0.059806 elapsed=00:06:39
epoch=6/500 step=1200/1524 train_loss=0.122753 elapsed=00:06:43
epoch=6/500 step=1300/1524 train_loss=0.090812 elapsed=00:06:48
epoch=6/500 step=1400/1524 train_loss=0.087909 elapsed=00:06:52
epoch=6/500 step=1500/1524 train_loss=0.110010 elapsed=00:06:56
epoch=6/500 step=1524/1524 train_loss=0.145478 elapsed=00:06:58
epoch=6/500 mean_train_loss=0.088309 mean_val_loss=0.086611
epoch=7/500 step=100/1524 train_loss=0.127795 elapsed=00:07:05
epoch=7/500 step=200/1524 train_loss=0.057833 elapsed=00:07:10
epoch=7/500 step=300/1524 train_loss=0.126375 elapsed=00:07:14
epoch=7/500 step=400/1524 train_loss=0.054958 elapsed=00:07:18
epoch=7/500 step=500/1524 train_loss=0.025370 elapsed=00:07:23
epoch=7/500 step=600/1524 train_loss=0.055605 elapsed=00:07:27
epoch=7/500 step=700/1524 train_loss=0.098879 elapsed=00:07:32
epoch=7/500 step=800/1524 train_loss=0.061101 elapsed=00:07:36
epoch=7/500 step=900/1524 train_loss=0.060307 elapsed=00:07:41
epoch=7/500 step=1000/1524 train_loss=0.156254 elapsed=00:07:45
epoch=7/500 step=1100/1524 train_loss=0.112084 elapsed=00:07:49
epoch=7/500 step=1200/1524 train_loss=0.109480 elapsed=00:07:54
epoch=7/500 step=1300/1524 train_loss=0.048248 elapsed=00:07:58
epoch=7/500 step=1400/1524 train_loss=0.078669 elapsed=00:08:03
epoch=7/500 step=1500/1524 train_loss=0.079671 elapsed=00:08:07
epoch=7/500 step=1524/1524 train_loss=0.014136 elapsed=00:08:08
epoch=7/500 mean_train_loss=0.080612 mean_val_loss=0.081684
epoch=8/500 step=100/1524 train_loss=0.046902 elapsed=00:08:16
epoch=8/500 step=200/1524 train_loss=0.041363 elapsed=00:08:20
epoch=8/500 step=300/1524 train_loss=0.070885 elapsed=00:08:24
epoch=8/500 step=400/1524 train_loss=0.035292 elapsed=00:08:29
epoch=8/500 step=500/1524 train_loss=0.138045 elapsed=00:08:33
epoch=8/500 step=600/1524 train_loss=0.103688 elapsed=00:08:38
epoch=8/500 step=700/1524 train_loss=0.085670 elapsed=00:08:42
epoch=8/500 step=800/1524 train_loss=0.057469 elapsed=00:08:46
epoch=8/500 step=900/1524 train_loss=0.065210 elapsed=00:08:51
epoch=8/500 step=1000/1524 train_loss=0.060798 elapsed=00:08:55
epoch=8/500 step=1100/1524 train_loss=0.057185 elapsed=00:09:00
epoch=8/500 step=1200/1524 train_loss=0.082687 elapsed=00:09:04
epoch=8/500 step=1300/1524 train_loss=0.153797 elapsed=00:09:09
epoch=8/500 step=1400/1524 train_loss=0.021959 elapsed=00:09:13
epoch=8/500 step=1500/1524 train_loss=0.067311 elapsed=00:09:18
epoch=8/500 step=1524/1524 train_loss=0.021824 elapsed=00:09:19
epoch=8/500 mean_train_loss=0.076968 mean_val_loss=0.075112
epoch=9/500 step=100/1524 train_loss=0.036804 elapsed=00:09:26
epoch=9/500 step=200/1524 train_loss=0.112048 elapsed=00:09:31
epoch=9/500 step=300/1524 train_loss=0.046924 elapsed=00:09:35
epoch=9/500 step=400/1524 train_loss=0.053698 elapsed=00:09:40
epoch=9/500 step=500/1524 train_loss=0.073752 elapsed=00:09:44
epoch=9/500 step=600/1524 train_loss=0.080862 elapsed=00:09:48
epoch=9/500 step=700/1524 train_loss=0.026576 elapsed=00:09:53
epoch=9/500 step=800/1524 train_loss=0.088615 elapsed=00:09:57
epoch=9/500 step=900/1524 train_loss=0.092975 elapsed=00:10:02
epoch=9/500 step=1000/1524 train_loss=0.123928 elapsed=00:10:06
epoch=9/500 step=1100/1524 train_loss=0.033488 elapsed=00:10:10
epoch=9/500 step=1200/1524 train_loss=0.087201 elapsed=00:10:15
epoch=9/500 step=1300/1524 train_loss=0.073835 elapsed=00:10:19
epoch=9/500 step=1400/1524 train_loss=0.061123 elapsed=00:10:24
epoch=9/500 step=1500/1524 train_loss=0.050145 elapsed=00:10:28
epoch=9/500 step=1524/1524 train_loss=0.251226 elapsed=00:10:29
epoch=9/500 mean_train_loss=0.070248 mean_val_loss=0.081570
epoch=10/500 step=100/1524 train_loss=0.065903 elapsed=00:10:37
epoch=10/500 step=200/1524 train_loss=0.027084 elapsed=00:10:41
epoch=10/500 step=300/1524 train_loss=0.092233 elapsed=00:10:45
epoch=10/500 step=400/1524 train_loss=0.085754 elapsed=00:10:50
epoch=10/500 step=500/1524 train_loss=0.069885 elapsed=00:10:54
epoch=10/500 step=600/1524 train_loss=0.138121 elapsed=00:10:59
epoch=10/500 step=700/1524 train_loss=0.054954 elapsed=00:11:03
epoch=10/500 step=800/1524 train_loss=0.039730 elapsed=00:11:07
epoch=10/500 step=900/1524 train_loss=0.157575 elapsed=00:11:12
epoch=10/500 step=1000/1524 train_loss=0.038823 elapsed=00:11:16
epoch=10/500 step=1100/1524 train_loss=0.055837 elapsed=00:11:21
epoch=10/500 step=1200/1524 train_loss=0.013840 elapsed=00:11:25
epoch=10/500 step=1300/1524 train_loss=0.086632 elapsed=00:11:29
epoch=10/500 step=1400/1524 train_loss=0.072125 elapsed=00:11:34
epoch=10/500 step=1500/1524 train_loss=0.033258 elapsed=00:11:38
epoch=10/500 step=1524/1524 train_loss=0.194306 elapsed=00:11:39
epoch=10/500 mean_train_loss=0.067277 mean_val_loss=0.068319
epoch=11/500 step=100/1524 train_loss=0.098027 elapsed=00:11:47
epoch=11/500 step=200/1524 train_loss=0.061770 elapsed=00:11:52
epoch=11/500 step=300/1524 train_loss=0.125355 elapsed=00:11:56
epoch=11/500 step=400/1524 train_loss=0.075715 elapsed=00:12:01
epoch=11/500 step=500/1524 train_loss=0.073152 elapsed=00:12:05
epoch=11/500 step=600/1524 train_loss=0.161086 elapsed=00:12:10
epoch=11/500 step=700/1524 train_loss=0.097600 elapsed=00:12:14
epoch=11/500 step=800/1524 train_loss=0.047423 elapsed=00:12:19
epoch=11/500 step=900/1524 train_loss=0.016144 elapsed=00:12:23
epoch=11/500 step=1000/1524 train_loss=0.066619 elapsed=00:12:28
epoch=11/500 step=1100/1524 train_loss=0.025938 elapsed=00:12:32
epoch=11/500 step=1200/1524 train_loss=0.061963 elapsed=00:12:36
epoch=11/500 step=1300/1524 train_loss=0.029183 elapsed=00:12:41
epoch=11/500 step=1400/1524 train_loss=0.084393 elapsed=00:12:45
epoch=11/500 step=1500/1524 train_loss=0.014054 elapsed=00:12:50
epoch=11/500 step=1524/1524 train_loss=0.007698 elapsed=00:12:51
epoch=11/500 mean_train_loss=0.063293 mean_val_loss=0.071207
epoch=12/500 step=100/1524 train_loss=0.072276 elapsed=00:12:59
epoch=12/500 step=200/1524 train_loss=0.158274 elapsed=00:13:03
epoch=12/500 step=300/1524 train_loss=0.065506 elapsed=00:13:07
epoch=12/500 step=400/1524 train_loss=0.039245 elapsed=00:13:12
epoch=12/500 step=500/1524 train_loss=0.070612 elapsed=00:13:16
epoch=12/500 step=600/1524 train_loss=0.080613 elapsed=00:13:21
epoch=12/500 step=700/1524 train_loss=0.071294 elapsed=00:13:25
epoch=12/500 step=800/1524 train_loss=0.016008 elapsed=00:13:29
